LittleBigPlanet PS Vita,PSV,90,Platform,9
LittleBigPlanet PS Vita -- Marvel Super Hero Edition,PSV,90,Platform,9
Splice: Tree of Life,iPad,85,Puzzle,9
NHL 13,X360,85,Sports,9
NHL 13,PS3,85,Sports,9
Total War Battles: Shogun,Macintosh,70,Strategy,9
Double Dragon: Neon,X360,30,Fighting,9
Guild Wars 2,PC,90,RPG,9
Double Dragon: Neon,PS3,30,Fighting,9
Total War Battles: Shogun,PC,70,Strategy,9
Tekken Tag Tournament 2,PS3,75,Fighting,9
Tekken Tag Tournament 2,X360,75,Fighting,9
Wild Blood,iPhone,70,,9
Mark of the Ninja,X360,90,Action Adventure,9
Mark of the Ninja,PC,90,Action Adventure,9
Home: A Unique Horror Adventure,Macintosh,65,Adventure,9
Home: A Unique Horror Adventure,PC,65,Adventure,9
Avengers Initiative,iPhone,80,Action,9
Way of the Samurai 4,PS3,55,Action Adventure,9
JoJo's Bizarre Adventure HD,X360,70,Fighting,9
JoJo's Bizarre Adventure HD,PS3,70,Fighting,9
Mass Effect 3: Leviathan,X360,75,RPG,8
Mass Effect 3: Leviathan,PS3,75,RPG,8
Mass Effect 3: Leviathan,PC,75,RPG,8
Dark Souls (Prepare to Die Edition),PC,90,Action RPG,8
Symphony,PC,70,Shooter,8
Bastion,iPad,90,Action RPG,8
Tom Clancy's Ghost Recon Phantoms,PC,75,Shooter,8
Thirty Flights of Loving,PC,80,Adventure,8
Legasista,PS3,65,Action RPG,8
The Walking Dead: The Game -- Episode 3: Long Road Ahead,Macintosh,90,Adventure,8
World of Warcraft: Mists of Pandaria,PC,87,RPG,10
Hell Yeah! Wrath of the Dead Rabbit,PS3,49,Platform,10
Pokemon White Version 2,DS,96,RPG,10
War of the Roses,PC,73,Action,10
Pokemon Black Version 2,DS,96,RPG,10
Drakerider,iPhone,65,RPG,10
The Walking Dead: The Game -- Episode 3: Long Road Ahead,X360,90,Adventure,8
The Walking Dead: The Game -- Episode 3: Long Road Ahead,PC,90,Adventure,8
The Walking Dead: The Game -- Episode 3: Long Road Ahead,PS3,90,Adventure,8
Rock Band Blitz,X360,85,Music,8
Counter-Strike: Global Offensive,Macintosh,80,Shooter,8
Worms Revolution,PS3,85,Strategy,10
Worms Revolution,PC,85,Strategy,10
Worms Revolution,X360,85,Strategy,10
Bad Piggies,iPhone,92,Action,10
Resident Evil 6,PS3,79,Action Adventure,10
Resident Evil 6,X360,79,Action Adventure,10
Shad'O,PC,70,Adventure,9
Demon's Score,iPhone,69,Action,9
NBA 2K13,X360,91,Sports,9
Counter-Strike: Global Offensive,PC,80,Shooter,8
The World Ends with You: Solo Remix,iPad,95,RPG,8
Counter-Strike: Global Offensive,PS3,80,Shooter,8
