Wii Sports,Wii,2006,Sports,Nintendo,82.53,76,80
Mario Kart Wii,Wii,2008,Racing,Nintendo,35.52,82,83
Wii Sports Resort,Wii,2009,Sports,Nintendo,32.77,80,80
New Super Mario Bros.,DS,2006,Platform,Nintendo,29.8,89,85
Wii Play,Wii,2006,Misc,Nintendo,28.92,58,66
New Super Mario Bros. Wii,Wii,2009,Platform,Nintendo,28.32,87,84
Mario Kart DS,DS,2005,Racing,Nintendo,23.21,91,86
Wii Fit,Wii,2007,Sports,Nintendo,22.7,80,77
Kinect Adventures!,X360,2010,Misc,Microsoft Game Studios,21.81,61,63
Wii Fit Plus,Wii,2009,Sports,Nintendo,21.79,80,74
Grand Theft Auto V,PS3,2013,Action,Take-Two Interactive,21.04,97,82
Grand Theft Auto: San Andreas,PS2,2004,Action,Take-Two Interactive,20.81,95,90
Brain Age: Train Your Brain in Minutes a Day,DS,2005,Misc,Nintendo,20.15,77,79
Grand Theft Auto V,X360,2013,Action,Take-Two Interactive,16.27,97,81
Grand Theft Auto: Vice City,PS2,2002,Action,Take-Two Interactive,16.15,95,87
Brain Age 2: More Training in Minutes a Day,DS,2005,Puzzle,Nintendo,15.29,77,71
Gran Turismo 3: A-Spec,PS2,2001,Racing,Sony Computer Entertainment,14.98,95,84
Call of Duty: Modern Warfare 3,X360,2011,Shooter,Activision,14.73,88,34
Call of Duty: Black Ops,X360,2010,Shooter,Activision,14.61,87,63
Call of Duty: Black Ops II,PS3,2012,Shooter,Activision,13.79,83,53
Call of Duty: Black Ops II,X360,2012,Shooter,Activision,13.67,83,48
Call of Duty: Modern Warfare 2,X360,2009,Shooter,Activision,13.47,94,63
Call of Duty: Modern Warfare 3,PS3,2011,Shooter,Activision,13.32,88,32
Grand Theft Auto III,PS2,2001,Action,Take-Two Interactive,13.1,97,85
Super Smash Bros. Brawl,Wii,2008,Fighting,Nintendo,12.84,93,89
Mario Kart 7,3DS,2011,Racing,Nintendo,12.66,85,82
Call of Duty: Black Ops,PS3,2010,Shooter,Activision,12.63,88,64
Grand Theft Auto V,PS4,2014,Action,Take-Two Interactive,12.61,97,83
Animal Crossing: Wild World,DS,2005,Simulation,Nintendo,12.13,86,87
Halo 3,X360,2007,Shooter,Microsoft Game Studios,12.12,94,78
Gran Turismo 4,PS2,2004,Racing,Sony Computer Entertainment,11.66,89,85
Super Mario Galaxy,Wii,2007,Platform,Nintendo,11.35,97,89
Grand Theft Auto IV,X360,2008,Action,Take-Two Interactive,11.01,98,79
Gran Turismo,PS,1997,Racing,Sony Computer Entertainment,10.95,96,87
Super Mario 3D Land,3DS,2011,Platform,Nintendo,10.81,90,84
Gran Turismo 5,PS3,2010,Racing,Sony Computer Entertainment,10.7,84,75
Call of Duty: Modern Warfare 2,PS3,2009,Shooter,Activision,10.6,94,63
Grand Theft Auto IV,PS3,2008,Action,Take-Two Interactive,10.5,98,75
Call of Duty: Ghosts,X360,2013,Shooter,Activision,10.25,73,26
Just Dance 3,Wii,2011,Misc,Ubisoft,10.12,74,78
New Super Mario Bros. 2,3DS,2012,Platform,Nintendo,9.9,78,72
Halo: Reach,X360,2010,Shooter,Microsoft Game Studios,9.86,91,79
Final Fantasy VII,PS,1997,Role-Playing,Sony Computer Entertainment,9.72,92,92
Halo 4,X360,2012,Shooter,Microsoft Game Studios,9.71,87,70
Gran Turismo 2,PS,1999,Racing,Sony Computer Entertainment,9.49,93,90
Just Dance 2,Wii,2010,Misc,Ubisoft,9.44,74,73
Call of Duty: Ghosts,PS3,2013,Shooter,Activision,9.36,71,26
Call of Duty 4: Modern Warfare,X360,2007,Shooter,Activision,9.31,94,84
Animal Crossing: New Leaf,3DS,2012,Simulation,Nintendo,9.16,88,87
