Wii Sports,Wii,2006,Sports,Nintendo,76,80
Mario Kart Wii,Wii,2008,Racing,Nintendo,82,83
Wii Sports Resort,Wii,2009,Sports,Nintendo,80,80
New Super Mario Bros.,DS,2006,Platform,Nintendo,89,85
Wii Play,Wii,2006,Misc,Nintendo,58,66
New Super Mario Bros. Wii,Wii,2009,Platform,Nintendo,87,84
Mario Kart DS,DS,2005,Racing,Nintendo,91,86
Wii Fit,Wii,2007,Sports,Nintendo,80,77
Kinect Adventures!,X360,2010,Misc,Microsoft Game Studios,61,63
Wii Fit Plus,Wii,2009,Sports,Nintendo,80,74
Grand Theft Auto V,PS3,2013,Action,Take-Two Interactive,97,82
Grand Theft Auto: San Andreas,PS2,2004,Action,Take-Two Interactive,95,90
Brain Age: Train Your Brain in Minutes a Day,DS,2005,Misc,Nintendo,77,79
Grand Theft Auto V,X360,2013,Action,Take-Two Interactive,97,81
Grand Theft Auto: Vice City,PS2,2002,Action,Take-Two Interactive,95,87
Brain Age 2: More Training in Minutes a Day,DS,2005,Puzzle,Nintendo,77,71
Gran Turismo 3: A-Spec,PS2,2001,Racing,Sony Computer Entertainment,95,84
Call of Duty: Modern Warfare 3,X360,2011,Shooter,Activision,88,34
Call of Duty: Black Ops,X360,2010,Shooter,Activision,87,63
Call of Duty: Black Ops II,PS3,2012,Shooter,Activision,83,53
Call of Duty: Black Ops II,X360,2012,Shooter,Activision,83,48
Call of Duty: Modern Warfare 2,X360,2009,Shooter,Activision,94,63
Call of Duty: Modern Warfare 3,PS3,2011,Shooter,Activision,88,32
Grand Theft Auto III,PS2,2001,Action,Take-Two Interactive,97,85
Super Smash Bros. Brawl,Wii,2008,Fighting,Nintendo,93,89
Mario Kart 7,3DS,2011,Racing,Nintendo,85,82
Call of Duty: Black Ops,PS3,2010,Shooter,Activision,88,64
Grand Theft Auto V,PS4,2014,Action,Take-Two Interactive,97,83
Animal Crossing: Wild World,DS,2005,Simulation,Nintendo,86,87
Halo 3,X360,2007,Shooter,Microsoft Game Studios,94,78
Gran Turismo 4,PS2,2004,Racing,Sony Computer Entertainment,89,85
Super Mario Galaxy,Wii,2007,Platform,Nintendo,97,89
Grand Theft Auto IV,X360,2008,Action,Take-Two Interactive,98,79
Gran Turismo,PS,1997,Racing,Sony Computer Entertainment,96,87
Super Mario 3D Land,3DS,2011,Platform,Nintendo,90,84
Gran Turismo 5,PS3,2010,Racing,Sony Computer Entertainment,84,75
Call of Duty: Modern Warfare 2,PS3,2009,Shooter,Activision,94,63
Grand Theft Auto IV,PS3,2008,Action,Take-Two Interactive,98,75
Call of Duty: Ghosts,X360,2013,Shooter,Activision,73,26
Just Dance 3,Wii,2011,Misc,Ubisoft,74,78
New Super Mario Bros. 2,3DS,2012,Platform,Nintendo,78,72
Halo: Reach,X360,2010,Shooter,Microsoft Game Studios,91,79
Final Fantasy VII,PS,1997,Role-Playing,Sony Computer Entertainment,92,92
Halo 4,X360,2012,Shooter,Microsoft Game Studios,87,70
Gran Turismo 2,PS,1999,Racing,Sony Computer Entertainment,93,90
Just Dance 2,Wii,2010,Misc,Ubisoft,74,73
Call of Duty: Ghosts,PS3,2013,Shooter,Activision,71,26
Call of Duty 4: Modern Warfare,X360,2007,Shooter,Activision,94,84
Animal Crossing: New Leaf,3DS,2012,Simulation,Nintendo,88,87
Mario Party DS,DS,2007,Misc,Nintendo,72,78
The Elder Scrolls V: Skyrim,X360,2011,Role-Playing,Bethesda Softworks,96,84
FIFA 16,PS4,2015,Sports,Electronic Arts,82,43
Halo 2,XB,2004,Shooter,Microsoft Game Studios,95,82
Wii Party,Wii,2010,Misc,Nintendo,68,74
Mario Party 8,Wii,2007,Misc,Nintendo,62,63
FIFA Soccer 13,PS3,2012,Action,Electronic Arts,88,66
Final Fantasy X,PS2,2001,Role-Playing,Sony Computer Entertainment,92,87
The Sims 3,PC,2009,Simulation,Electronic Arts,86,76
Final Fantasy VIII,PS,1999,Role-Playing,SquareSoft,90,86
Pokémon Platinum Version,DS,2008,Role-Playing,Nintendo,83,85
Grand Theft Auto: Liberty City Stories,PSP,2005,Action,Take-Two Interactive,88,76
Call of Duty: Advanced Warfare,PS4,2014,Shooter,Activision,83,57
FIFA 17,PS4,2016,Sports,Electronic Arts,85,50
Super Mario Galaxy 2,Wii,2010,Platform,Nintendo,97,91
Call of Duty: World at War,X360,2008,Shooter,Activision,84,76
Battlefield 3,X360,2011,Shooter,Electronic Arts,84,74
Need for Speed Underground,PS2,2003,Racing,Electronic Arts,85,86
Just Dance,Wii,2009,Misc,Ubisoft,49,80
Battlefield 3,PS3,2011,Shooter,Electronic Arts,85,75
Fallout 4,PS4,2015,Role-Playing,Bethesda Softworks,87,65
Tekken 3,PS,1998,Fighting,Sony Computer Entertainment,96,91
The Legend of Zelda: Twilight Princess,Wii,2006,Action,Nintendo,95,90
Crash Bandicoot 3: Warped,PS,1998,Platform,Sony Computer Entertainment,91,89
Mario Kart 8,WiiU,2014,Racing,Nintendo,88,91
Super Smash Bros. Melee,GC,2001,Fighting,Nintendo,92,91
Need for Speed Underground 2,PS2,2004,Racing,Electronic Arts,82,86
Medal of Honor: Frontline,PS2,2002,Shooter,Electronic Arts,88,85
Just Dance 4,Wii,2012,Misc,Ubisoft,74,73
Gears of War 2,X360,2008,Shooter,Microsoft Game Studios,93,77
Uncharted 3: Drake's Deception,PS3,2011,Action,Sony Computer Entertainment,92,83
Call of Duty 4: Modern Warfare,PS3,2007,Shooter,Activision,94,84
Uncharted 2: Among Thieves,PS3,2009,Action,Sony Computer Entertainment,96,88
Big Brain Academy,DS,2005,Misc,Nintendo,74,74
Red Dead Redemption,PS3,2010,Action,Take-Two Interactive,95,88
FIFA 14,PS3,2013,Sports,Electronic Arts,86,43
Assassin's Creed III,PS3,2012,Action,Ubisoft,85,69
Donkey Kong Country Returns,Wii,2010,Platform,Nintendo,87,86
Halo: Combat Evolved,XB,2001,Shooter,Microsoft Game Studios,97,86
The Elder Scrolls V: Skyrim,PS3,2011,Role-Playing,Bethesda Softworks,92,64
Pokémon Emerald Version,GBA,2004,Role-Playing,Nintendo,76,90
Kingdom Hearts,PS2,2002,Role-Playing,Sony Computer Entertainment,85,88
Halo 3: ODST,X360,2009,Shooter,Microsoft Game Studios,83,71
Red Dead Redemption,X360,2010,Action,Take-Two Interactive,95,90
Super Mario Sunshine,GC,2002,Platform,Nintendo,92,86
World of Warcraft,PC,2004,Role-Playing,Activision,93,73
Driver,PS,1999,Action,GT Interactive,87,81
Gears of War 3,X360,2011,Shooter,Microsoft Game Studios,91,78
Kinect Sports,X360,2010,Sports,Microsoft Game Studios,73,74
Gears of War,X360,2006,Shooter,Microsoft Game Studios,94,83
FIFA 15,PS4,2014,Sports,Electronic Arts,82,57
Metal Gear Solid 2: Sons of Liberty,PS2,2001,Action,Konami Digital Entertainment,96,87
Metal Gear Solid,PS,1998,Action,Konami Digital Entertainment,94,94
Metal Gear Solid 4: Guns of the Patriots,PS3,2008,Action,Konami Digital Entertainment,94,87
Final Fantasy XII,PS2,2006,Role-Playing,Square Enix,92,76
The Last of Us,PS3,2013,Action,Sony Computer Entertainment Europe,95,91
LittleBigPlanet,PS3,2008,Platform,Sony Computer Entertainment,95,68
Resident Evil 2,PS,1998,Action,Virgin Interactive,89,92
Dragon Quest IX: Sentinels of the Starry Skies,DS,2009,Role-Playing,Nintendo,87,88
Tekken 2,PS,1996,Fighting,Sony Computer Entertainment,89,89
Destiny,PS4,2014,Shooter,Activision,76,61
LEGO Star Wars: The Complete Saga,Wii,2007,Action,LucasArts,80,89
Cooking Mama,DS,2006,Simulation,505 Games,67,72
Assassin's Creed II,PS3,2009,Action,Ubisoft,91,86
Assassin's Creed,X360,2007,Adventure,Ubisoft,81,77
Forza Motorsport 3,X360,2009,Racing,Microsoft Game Studios,92,80
Super Mario Advance,GBA,2001,Platform,Nintendo,84,78
Monster Hunter Freedom Unite,PSP,2008,Role-Playing,Capcom,81,87
Batman: Arkham City,PS3,2011,Action,Warner Bros. Interactive Entertainment,96,86
Grand Theft Auto V,XOne,2014,Action,Take-Two Interactive,97,79
Mario Kart: Super Circuit,GBA,2001,Racing,Nintendo,93,83
Crash Bandicoot: The Wrath of Cortex,PS2,2001,Platform,Universal Interactive,66,71
Call of Duty: World at War,PS3,2008,Shooter,Activision,85,76
Uncharted 4: A Thief's End,PS4,2016,Shooter,Sony Computer Entertainment,93,79
Final Fantasy XIII,PS3,2009,Role-Playing,Square Enix,83,73
Final Fantasy IX,PS,2000,Role-Playing,SquareSoft,94,89
Assassin's Creed III,X360,2012,Action,Ubisoft,84,67
Final Fantasy X-2,PS2,2003,Role-Playing,Electronic Arts,85,66
Call of Duty: Advanced Warfare,XOne,2014,Shooter,Activision,81,54
Assassin's Creed II,X360,2009,Action,Ubisoft,90,88
Madden NFL 2004,PS2,0000,Sports,Electronic Arts,94,85
New Super Mario Bros. U,WiiU,2012,Platform,Nintendo,84,81
Dragon Quest VIII: Journey of the Cursed King,PS2,2004,Role-Playing,Square Enix,89,88
Professor Layton and the Curious Village,DS,2007,Puzzle,Nintendo,85,86
FIFA Soccer 13,X360,2012,Action,Electronic Arts,90,61
Diablo III,PC,2012,Role-Playing,Activision,88,40
Medal of Honor: Rising Sun,PS2,2003,Shooter,Electronic Arts,68,76
Guitar Hero II,PS2,2006,Misc,RedOctane,92,85
Fable III,X360,2010,Role-Playing,Microsoft Game Studios,80,65
Resident Evil 5,PS3,2009,Action,Capcom,84,75
The Legend of Zelda: Phantom Hourglass,DS,2007,Action,Nintendo,90,80
FIFA Soccer 11,PS3,2010,Sports,Electronic Arts,89,80
Resident Evil,PS,1996,Action,Virgin Interactive,91,90
Grand Theft Auto: Vice City Stories,PSP,2006,Action,Take-Two Interactive,86,80
Tony Hawk's Pro Skater,PS,1999,Sports,Activision,92,92
Guitar Hero III: Legends of Rock,PS2,2007,Misc,Activision,82,82
Link's Crossbow Training,Wii,2007,Shooter,Nintendo,68,71
Fallout 3,X360,2008,Role-Playing,Bethesda Softworks,93,85
Uncharted: Drake's Fortune,PS3,2007,Action,Sony Computer Entertainment,88,81
Madden NFL 06,PS2,2005,Sports,Electronic Arts,88,80
StarCraft II: Wings of Liberty,PC,2010,Strategy,Activision,93,82
Assassin's Creed,PS3,2007,Adventure,Ubisoft,81,73
God of War III,PS3,2010,Action,Sony Computer Entertainment,92,87
Crash Team Racing,PS,1999,Racing,Sony Computer Entertainment,88,90
LEGO Star Wars: The Complete Saga,DS,2007,Action,LucasArts,80,54
Driver 2,PS,2000,Action,Atari,62,77
Batman: Arkham City,X360,2011,Action,Warner Bros. Interactive Entertainment,94,87
Tony Hawk's Pro Skater 2,PS,2000,Sports,Activision,98,77
The Lord of the Rings: The Two Towers,PS2,2002,Action,Electronic Arts,82,82
Tomb Raider,PS,1996,Action,Eidos Interactive,91,86
Animal Crossing: City Folk,Wii,2008,Simulation,Nintendo,73,76
Uncharted: The Nathan Drake Collection,PS4,2015,Action,Sony Computer Entertainment,86,81
The Legend of Zelda: The Wind Waker,GC,2002,Action,Nintendo,96,89
Guitar Hero III: Legends of Rock,Wii,2007,Misc,Activision,86,84
Luigi's Mansion: Dark Moon,3DS,2013,Action,Nintendo,86,84
Forza Motorsport 4,X360,2011,Racing,Microsoft Game Studios,91,82
Madden NFL 2005,PS2,2004,Sports,Electronic Arts,91,79
Guitar Hero III: Legends of Rock,X360,2007,Misc,Activision,85,79
Madden NFL 07,PS2,2006,Sports,Electronic Arts,84,82
Halo 5: Guardians,XOne,2015,Shooter,Microsoft Game Studios,84,64
Spider-Man: The Movie,PS2,2002,Action,Activision,76,79
Call of Duty: Infinite Warfare,PS4,2016,Shooter,Activision,77,34
God of War,PS2,2005,Action,Sony Computer Entertainment,94,89
Splatoon,WiiU,2015,Shooter,Nintendo,81,85
Nintendo Land,WiiU,2012,Misc,Nintendo,77,79
Tony Hawk's Pro Skater 3,PS2,2001,Sports,Activision,97,75
Winning Eleven: Pro Evolution Soccer 2007,PS2,2006,Sports,Konami Digital Entertainment,86,89
The Elder Scrolls IV: Oblivion,X360,2006,Role-Playing,Take-Two Interactive,94,87
Need for Speed: Most Wanted,PS2,2005,Racing,Electronic Arts,82,91
Michael Jackson: The Experience,Wii,2010,Misc,Ubisoft,56,83
Call of Duty: Advanced Warfare,PS3,2014,Shooter,Activision,0,48
Resistance: Fall of Man,PS3,2006,Shooter,Sony Computer Entertainment,86,81
Kingdom Hearts II,PS2,2005,Role-Playing,Square Enix,87,90
Super Mario 3D World,WiiU,2013,Platform,Nintendo,93,90
Call of Duty: Advanced Warfare,X360,2014,Shooter,Activision,0,49
FIFA 15,PS3,2014,Sports,Electronic Arts,0,45
Fable II,X360,2008,Role-Playing,Microsoft Game Studios,89,65
Namco Museum,GBA,2001,Misc,Namco Bandai Games,79,73
Batman: Arkham Asylum,PS3,2009,Action,Eidos Interactive,91,89
Metal Gear Solid 3: Snake Eater,PS2,2004,Action,Konami Digital Entertainment,91,93
Assassin's Creed: Revelations,PS3,2011,Action,Ubisoft,80,75
Fallout 4,XOne,2015,Role-Playing,Bethesda Softworks,88,62
FIFA 14,X360,2013,Sports,Electronic Arts,84,42
Daxter,PSP,2006,Platform,Sony Computer Entertainment,85,87
FIFA Soccer 06,PS2,2005,Sports,Electronic Arts,80,78
EyeToy Play,PS2,2003,Misc,Sony Computer Entertainment,80,75
Gran Turismo 5 Prologue,PS3,2007,Racing,Sony Computer Entertainment,80,71
Assassin's Creed: Revelations,X360,2011,Action,Ubisoft,80,72
Street Fighter IV,PS3,2009,Fighting,Capcom,94,73
Madden NFL 2003,PS2,2002,Sports,Electronic Arts,95,77
Half-Life,PC,1997,Shooter,Vivendi Games,96,91
World of Warcraft: The Burning Crusade,PC,2007,Role-Playing,Activision,91,79
Battlefield 1,PS4,2016,Shooter,Electronic Arts,88,84
God of War II,PS2,2007,Action,Sony Computer Entertainment,93,89
World Soccer Winning Eleven 9,PS2,2005,Sports,Konami Digital Entertainment,0,82
Fallout: New Vegas,X360,2010,Role-Playing,Bethesda Softworks,84,81
Forza Motorsport 2,X360,2007,Racing,Microsoft Game Studios,90,83
Carnival Games,Wii,2007,Misc,Take-Two Interactive,56,60
Watch Dogs,PS4,2014,Action,Ubisoft,80,63
Tekken Tag Tournament,PS2,2000,Fighting,Namco Bandai Games,85,85
Far Cry 4,PS4,2014,Shooter,Ubisoft,85,77
Left 4 Dead 2,X360,2009,Shooter,Electronic Arts,89,86
The Witcher 3: Wild Hunt,PS4,2015,Role-Playing,Namco Bandai Games,92,92
Assassin's Creed: Unity,PS4,2014,Action,Ubisoft,70,49
Batman: Arkham Knight,PS4,2015,Action,Warner Bros. Interactive Entertainment,87,76
The Legend of Zelda: Skyward Sword,Wii,2011,Action,Nintendo,93,80
Fallout 3,PS3,2008,Role-Playing,Bethesda Softworks,90,80
Professor Layton and the Diabolical Box,DS,2007,Puzzle,Nintendo,84,88
EA Sports Active,Wii,2009,Sports,Electronic Arts,81,87
Tony Hawk's Underground,PS2,2003,Sports,Activision,90,87
Monster Hunter 4 Ultimate,3DS,2014,Role-Playing,Nintendo,86,87
The Elder Scrolls V: Skyrim,PC,2011,Role-Playing,Bethesda Softworks,94,81
NBA 2K16,PS4,2015,Sports,Take-Two Interactive,87,67
Tekken 5,PS2,2005,Fighting,Namco Bandai Games,88,86
MotorStorm,PS3,2006,Racing,Sony Computer Entertainment,84,74
World Soccer Winning Eleven 8 International,PS2,2004,Sports,Konami Digital Entertainment,91,91
Sports Champions,PS3,2010,Sports,Sony Computer Entertainment,76,79
Call of Duty: Ghosts,PS4,2013,Shooter,Activision,78,37
Flash Focus: Vision Training in Minutes a Day,DS,2007,Misc,Nintendo,59,40
Tom Clancy's The Division,PS4,2016,Shooter,Ubisoft,80,70
Big Brain Academy: Wii Degree,Wii,2007,Misc,Nintendo,68,69
LEGO Indiana Jones: The Original Adventures,X360,2008,Action,Activision,77,75
